Date,Post ID,Type,Lifetime Post Total Impressions,Lifetime Post Total Reach,Lifetime Total Video Views,Lifetime Unique Video Views,Posted,Lifetime Total 30-Second Views,year,month,source,yearStr
12/30/2015,163815626997995_980496045329945,SharedVideo,168,38,9,5,12/30/2015 8:07,0,2015,12,Facebook,2015
12/11/2015,163815626997995_970208263025390,Video,4359,3827,1290,1180,12/11/2015 4:51,205,2015,12,Facebook,2015
12/17/2015,163815626997995_973247702721446,Video,1610,801,259,237,12/17/2015 13:40,67,2015,12,Facebook,2015
12/29/2015,163815626997995_979895915389958,Video,3397,1867,462,373,12/29/2015 3:58,141,2015,12,Facebook,2015
12/4/2017,163815626997995_1560894047290139,SharedVideo,391,253,68,66,12/4/2017 13:55,0,2017,12,Facebook,2017
12/14/2018,163815626997995_2003630429683163,SharedVideo,518,371,108,108,12/14/2018 16:48,0,2018,12,Facebook,2018
12/17/2018,163815626997995_2007324162647123,SharedVideo,343,267,151,147,12/17/2018 9:21,0,2018,12,Facebook,2018
12/3/2018,163815626997995_1988066387906234,SharedVideo,405,309,154,149,12/3/2018 6:52,0,2018,12,Facebook,2018
12/5/2018,163815626997995_259803928045943,Video,502,338,69,57,12/5/2018 17:30,8,2018,12,Facebook,2018
12/12/2018,163815626997995_554180258387399,Video,402,280,54,51,12/12/2018 16:30,6,2018,12,Facebook,2018
12/12/2018,163815626997995_2000791566633716,SharedVideo,130,103,34,27,12/12/2018 10:18,0,2018,12,Facebook,2018
12/7/2018,163815626997995_1992552680790938,Video,242,190,71,68,12/7/2018 7:00,10,2018,12,Facebook,2018
12/6/2019,163815626997995_1691772297631304,Video,461,420,119,110,12/6/2019 15:43,16,2019,12,Facebook,2019
4/14/2016,163815626997995_10154163476704697,SharedVideo,0,0,0,0,4/14/2016 7:45,0,2016,4,Facebook,2016
2/2/2016,163815626997995_996937647019118,Video,1195,243,24,22,2/2/2016 3:05,6,2016,2,Facebook,2016
1/13/2016,163815626997995_987053601340856,Video,1917,945,221,158,1/13/2016 6:07,57,2016,1,Facebook,2016
1/7/2016,163815626997995_984277904951759,Video,1629,820,319,270,1/7/2016 13:56,66,2016,1,Facebook,2016
2/9/2016,163815626997995_1000818626631020,Video,1207,529,86,75,2/9/2016 15:23,15,2016,2,Facebook,2016
2/12/2016,163815626997995_1002157136497169,Video,2685,1131,351,281,2/12/2016 6:15,59,2016,2,Facebook,2016
2/17/2017,163815626997995_1287512274628319,SharedVideo,860,544,119,113,2/17/2017 11:03,0,2017,2,Facebook,2017
1/26/2017,163815626997995_1267782993267914,SharedVideo,65,46,21,19,1/26/2017 10:06,0,2017,1,Facebook,2017
2/22/2018,163815626997995_1637443936301816,SharedVideo,446,335,95,91,2/22/2018 12:02,0,2018,2,Facebook,2018
6/11/2018,163815626997995_1744999285546280,SharedVideo,109,98,81,74,6/11/2018 12:52,0,2018,6,Facebook,2018
