,Video,Video publish time,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
0,7ZStUcT47Wo,2014-09-13,8893.0,1859.6632,62.0,87317,4.49
1,FjJCJY8TfIU,2012-08-13,4583.0,539.1637,45.0,35696,7.95
2,bl2iGoOzB4o,2016-03-24,3845.0,560.1713,13.0,6612,4.66
3,K6fK_LIcDGE,2016-10-12,3749.0,104.3245,10.0,23115,8.35
4,xt2wDYDLsx8,2017-09-12,3478.0,1583.7686,21.0,41121,3.9
5,OzWgQOohnPQ,2016-09-29,3335.0,220.0881,8.0,24319,8.13
6,br8bKAZQf4s,2016-08-18,2968.0,269.9709,6.0,27661,4.76
7,zq6kgV1eoj4,2018-06-18,2849.0,915.6934,15.0,32987,3.51
8,GMjPSgtbYcM,2020-07-02,1407.0,295.9676,17.0,20255,2.05
9,jVXIX9jc3dw,2013-11-07,970.0,220.5927,3.0,5306,3.83
10,LOnT_KfaIe0,2017-04-12,967.0,232.97400000000002,0.0,8320,3.28
11,remxHrVqlIE,2018-10-04,856.0,20.2479,0.0,8755,7.29
12,DU0QI2kspUI,2016-04-15,769.0,40.5658,1.0,23766,0.77
13,xGhAFt6Rnno,2015-12-06,655.0,19.9356,0.0,1767,2.32
14,kd5qIL3NiXw,2018-02-21,628.0,8.7798,0.0,1316,2.96
15,n7Zo80_zIKI,2017-06-27,611.0,147.6286,4.0,8189,1.86
16,icgYtMYc_l0,2015-12-03,601.0,90.7597,3.0,2679,5.11
17,gsryRHogZak,2015-10-19,598.0,19.7404,6.0,3493,5.67
18,x2LYZul94wQ,2017-04-21,595.0,61.4899,2.0,6725,3.45
19,31PpqzuUQRA,2017-10-13,589.0,117.1251,3.0,4674,3.81
20,zwNwtWWvsJw,2020-01-10,515.0,72.6302,2.0,3390,3.36
21,cNOWIBUlrHM,2017-09-18,506.0,11.9962,2.0,2997,6.24
22,n0jaEmeQujQ,2012-01-31,494.0,30.4939,1.0,1725,3.07
23,f-iEGz-81Z4,2017-04-19,451.0,11.8598,1.0,5212,3.68
24,wSAW19RkjYY,2014-09-13,443.0,4.4225,0.0,2447,2.66
25,IXadTUdyWTk,2018-01-31,396.0,65.7358,0.0,5659,2.62
26,831veYw5tcI,2013-03-11,343.0,53.1075,3.0,5943,1.58
27,1bW8hFWs7vw,2018-10-27,342.0,20.0514,0.0,2655,4.03
28,Y9mEXrmOdwg,2013-11-12,327.0,72.0276,1.0,5021,2.57
29,kBVOh3H4XQU,2017-03-31,326.0,52.9144,0.0,1719,2.91
30,aIth9Jux9pg,2016-03-11,304.0,51.493,0.0,5206,1.79
31,3CcSImls4Q8,2020-08-20,300.0,61.9746,8.0,5619,1.42
32,C-bVBEQJNs4,2015-11-11,293.0,8.672,2.0,1073,4.1
33,MLcuPrwSajY,2019-01-23,288.0,30.1134,2.0,4874,1.56
34,kb_mGiGvZ1o,2012-05-02,279.0,8.2026,1.0,2421,2.15
35,KH34H5IcUHo,2013-11-07,257.0,25.3867,0.0,3464,2.11
36,IEZxVsYpmEA,2012-05-09,255.0,50.1621,0.0,1377,2.69
37,958M_ihtk-k,2020-07-01,252.0,50.238,5.0,4389,1.71
